Mp_code,Mp_name,SUM_Tot_Po,SHAPE_Leng,SHAPE_Area,MP_Class
291038,Ethonsini,409,0.124103325281,0.0002864511565,NIP
291039,Nzondeni,529,0.0647057863117,0.000111832808,NIP
291040,Cabe,907,0.12410141736,0.000353541966,NIP
291041,Mnkutayi,409,0.0528438141878,0.0000586372465,NIP
291042,Ncimbini,332,0.0619759292688,0.000109707217,NIP
291043,Tsheni,182,0.0561796039656,0.000161555135,NIP
291044,Siphusiphu,316,0.109042201582,0.0001799962595,NIP
291045,Komane,290,0.0501525196553,0.00006504051,NIP
291046,Luqhoqhweni,1717,0.0878392702489,0.00021907395503,NIP
291047,Emachibini,312,0.0301006286048,0.0000385917024999,NIP
291048,Etshiweni,404,0.0565981211953,0.000114259098,NIP
291049,Ndingindawo,1417,0.0862126009779,0.000252852277,NIP
291050,Ntambula,663,0.0752980953681,0.000185196569,NIP
291051,Mathana,384,0.0753046736884,0.0001535267745,NIP
291052,Emadrayini,451,0.0670606875313,0.0001555746745,NIP
291053,Buchele,1839,0.144842232414,0.000625083595,NIP
291054,Fatyini,117,0.0423618716475,0.000040122207,NIP
291055,Ndavindavi,57,0.056386680937,0.0001606806875,NIP
291056,KwaZulu,909,0.120897130228,0.000296226736,NIP
291057,Emsindweni,1641,0.145318326848,0.000430544393,NIP
291058,Thafeni,594,0.0581249994162,0.000130661298,NIP
291059,Entsengeni,225,0.0397820773896,0.000062208058,NIP
291060,Kuxhaka,667,0.0496192324979,0.0000908108995001,NIP
291061,Gangatha,133,0.0582657255429,0.000149538797,NIP
291062,Emdlankala,250,0.108146842499,0.000182392978,NIP
291063,Mpophomeni,532,0.0877462943705,0.0001972448455,NIP
291064,Ndayini,412,0.054813530001,0.000105957166,NIP
291065,Somnqobo,459,0.0466593701767,0.000081516223,NIP
291066,Engweni,74,0.0248985440486,0.000019311017,NIP
291067,Mgugwana,749,0.109492409211,0.0001378240855,NIP
291068,Mgugwa,484,0.0430769985256,0.0000744553655001,NIP
291069,Lower Ntafufu,745,0.0770738993522,0.000164308088,NIP
291070,Gimqi A,1860,0.16724461486,0.000473478406,NIP
291071,Gcobana,525,0.0687341854852,0.0000883361544999,NIP
291072,Sijungqwini,143,0.0559364142254,0.0000965901,NIP
291073,Siqhozameni,257,0.117077974359,0.0001934366415,NIP
291074,Mhlotsheni,2073,0.22094357002,0.000465335219,NIP
291075,Ndwalana,500,0.130793905369,0.000415111094,NIP
291076,Enkweza,165,0.0553282786567,0.0000780841965002,NIP
291077,Nyazi,738,0.12548343836,0.000369001713,NIP
291078,Mposa,181,0.0727696750398,0.0001252497835,NIP
291079,Esiqhumeni,354,0.0451590716772,0.000082206091,NIP
291080,Ntshamatha,734,0.0844683051112,0.000192046869,NIP
291081,Ziphondo,201,0.0406047961005,0.0000589194235,NIP
291082,Ediphini,292,0.0721221596507,0.000122968247,NIP
